name1,name2,street1,street2,city,state,zip,zip4,phone,website,latitude,longitude,mh,psy,omh,cmhc,msnh,tt,sma,smi,ptsd,coot,imr,prs,sps,,,,,,,,,,,,,,,,,,,,,,,
Juneau Youth Services Inc,Montana Creek,2075 Jordan Avenue,Suite 101,Juneau,AK,99801,,907-789-7610,http://www.jys.org,58.362066,-134.580123,1,,,,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Cornerstone,Juneau Youth Services,9290 Hurlock Avenue,,Juneau,AK,99801,8007,907-789-7654,http://www.jys.org/cornerstone.php,58.3689774,-134.586125,1,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Juneau Youth Services Inc,Miller House,10685 Mendenhall Loop Road,,Juneau,AK,99801,,907-789-7610,http://www.jys.org/millerhouse.php,58.398411,-134.609566,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Salmon Creek Lodge,,3406 Glacier Highway,Building D,Juneau,AK,99801,,907-463-6885,http://www.jamhi.org,58.3319,-134.471,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Juneau Youth Services Inc,Wallington House,2461 Oday Drive,,Juneau,AK,99801,,907-789-7610,http://www.jys.org,58.3684,-134.585,1,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
SE Alaska Regional Health Consortium,Juneau Behavioral Health,1046 Salmon Creek Lane,,Juneau,AK,99801,,907-364-4445,http://www.searhc.org,58.3302,-134.468,1,,,1,,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
National Council on Alc and Drug Dep,,211 4th Street,Suite 102,Juneau,AK,99801,,907-463-3755,http://www.ncaddjuneau.org,58.302191,-134.4094811,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC Upper Tanana Behavioral Health,,West C Street and Willow,Unit A,Tok,AK,99780,,907-883-5107,http://,63.3296447,-143.0038307,1,,1,,,1,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Norton Sound Health Corporation,Behavioral Health Services,607 Division Street,,Nome,AK,99762,,907-443-3344,http://nortonsoundhealth.org,64.5003046,-165.4061628,1,,1,,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Maniilaq Association,Putyuk Childrens Home,572 Friends Way,,Kotzebue,AK,99752,,907-442-7581,http://www.maniilaq.org/social-services,66.899496,-162.5930294,1,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Maniilaq Counseling and Recovery Ctr,,733 2nd Avenue,,Kotzebue,AK,99752,,907-442-7640,http://www.maniilaq.org/social-services,66.902503,-162.582547,1,,,1,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Council of Athabascan Tribal Govt,,101 Spruce Street,,Fort Yukon,AK,99740,,907-662-2587,http://www.catg.org/,66.566486,-145.243743,1,,,1,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Gathering Place,,5326 Laura Madison Street,,Barrow,AK,99723,,907-852-0402,http://,71.299476,-156.755859,1,,,1,,1,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Matsutani Community Resource Center,,1402 Nachik Street,P.O. Box 69,Barrow,AK,99723,,907-852-0366,http://,71.2904653,-156.7884316,1,,,1,,1,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
North Slope Borough,Integrated Behavioral Health,5200 Karluk Street,,Barrow,AK,99723,,907-852-0366,http://,71.2999212,-156.7590963,1,,,1,,1,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Family Centered Services of Alaska,,1825 Marika Road,,Fairbanks,AK,99709,5521,907-474-0890,http://www.familycenteredservices.com/,64.854257,-147.763494,1,,1,,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Tanana Chiefs Conference,Behavioral Health,122 1st Avenue,Suite 600,Fairbanks,AK,99701,,907-452-8251 x3800,http://,64.8444465,-147.7089204,1,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Fairbanks Community Mental,Health Services,3830 Cushman Street,,Fairbanks,AK,99701,,907-371-1300,http://www.acmhs.com/fairbanks-community-mental-health-services,64.809517,-147.713214,1,,1,,,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Daybreak Inc,,550 South Alaska Street,Suite 202,Palmer,AK,99645,,907-746-6019,http://www.daybreakmhsc.com/,61.6018308,-149.1153167,1,,1,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Fairbanks Memorial Hospital,Behavioral Health,1650 Cowles Street,,Fairbanks,AK,99701,,907-452-8181,http://www.bannerhealth.com/,64.833887,-147.739444,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presbyterian Hospitality House,,209 Forty Mile Avenue,Suite 100,Fairbanks,AK,99701,3110,907-456-6445,http://www.phhalaska.org,64.846821,-147.703496,1,,,,1,1,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Family Centered Services of Alaska,,3101 Lathrop Street,,Fairbanks,AK,99701,,907-459-4700,http://www.familycenteredservices.com,64.818752,-147.7423839,1,,,,,1,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Yakutat Counseling,,364 Ridge Road,,Yakutat,AK,99689,,907-784-3639,http://scpsak.org,59.5519568,-139.7385686,1,,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providence Valdez Counseling Center,,911 Meals Avenue,,Valdez,AK,99686,,907-835-2838,http://alaska.providence.org,61.136845,-146.349571,1,,1,,,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Peninsula Comm Hlth Servs of Alaska,,230 East Marydale Avenue,,Soldotna,AK,99669,,907-260-7300,http://www.pchsak.org,60.4954283,-151.0644237,1,,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Seaview Community Services,,302 Railway Avenue,,Seward,AK,99664,,907-224-5257 x1041,http://www.seaviewseward.org,60.1005182,-149.4417466,1,,,1,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Aleutian Tribes Inc,,172 Red Cove Road,,Sand Point,AK,99661,,907-383-3151 x604,http://www.eatribes.org,55.3520713,-160.4773267,1,,1,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Wasilla Behavioral Health Services,,301 East Danna Avenue,,Wasilla,AK,99654,,907-357-7519,http://www.familycenteredservices.com,61.586724,-149.443968,1,,,1,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Ninilchik Traditional Council,,15765 Kingsley Road,,Ninilchik,AK,99639,,907-567-3370,http://,60.043437,-151.667195,1,,1,,,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Mat Su Health Services,,1363 West Spruce Avenue,,Wasilla,AK,99654,,907-376-2411,http://mshsak.org,61.601352,-149.485868,1,,,1,,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Anchorage Comm Mental Health Services,,1432 Ingra Street,,Anchorage,AK,99501,,907-562-7900,http://www.acmhs.com,61.2081663,-149.8672737,1,,,1,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Providence Adolescent,Residential Treatment Center,3210 West 62nd Avenue,,Anchorage,AK,99502,,907-212-2040,http://www.alaska.providence.org,61.1645247,-149.939064,1,,,,,1,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Denali Family Services,,291 East Swanson Street,,Wasilla,AK,99654,,907-274-8281,http://www.denalifs.org/,61.5833834,-149.4441449,1,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Greatland Clinical Associates LLC,,1400 West Benson Boulevard,Suite 315,Anchorage,AK,99503,,907-929-4009,http://www.greatlandclinicalassociates.com,61.193134,-149.90906,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akeela Inc,,360 West Benson Boulevard,Suite 300,Anchorage,AK,99503,,907-433-7080,http://www.akeela.us,61.193883,-149.889832,1,,1,,,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Denali Family Services,,1251 Muldoon Road,Suite 116,Anchorage,AK,99504,,907-274-8281,http://www.denalifs.org,61.210668,-149.730548,1,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
AK Child and Family,,4600 Abbott Road,,Anchorage,AK,99507,,907-346-2101,http://www.AKChild.org,61.136565,-149.794464,1,,,,,1,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
North Star DeBarr Hospital,,2530 DeBarr Road,,Anchorage,AK,99508,,907-258-7575,http://www.northstarbehavioralhealth.com,61.207922,-149.833549,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providence Health and Servs/Washington,DBA Providence Behavioral Medicine,3760 Piper Street,Suite 1108,Anchorage,AK,99508,,907-212-6900,http://,61.1859228,-149.8262928,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Kyle Patriots Hospital,,1650 Bragaw Street,,Anchorage,AK,99508,3435,907-272-6206,http://www.chriskylepatriotshospital.com,61.2056055,-149.8098303,1,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Arc of Anchorage,,2211 Arca Drive,,Anchorage,AK,99508,,907-277-6677,http://www.thearcofanchorage.org,61.2008442,-149.8169018,1,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Good Samaritan Psychiatric Services,,1650 South Bragaw Street,,Anchorage,AK,99508,,907-264-3595,http://www.goodsamak.com,61.2056056,-149.8098304,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Star DeBarr RTC,,1500 Debarr Circle,,Anchorage,AK,99508,2984,907-865-7100,http://northstarbehavioral.com/,61.208966,-149.830782,1,1,,,,1,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Denali Cove Counseling Center,,1565 Bragaw Street,Suite 201,Anchorage,AK,99508,,907-222-2436,http://,61.207089,-149.807595,1,,1,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1
Alaska Native Medical Center,,4320 Diplomacy Drive,,Anchorage,AK,99508,,907-729-2500,http://www.southcentralfoundation.com,61.181415,-149.79982,1,1,,,,1,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Aleutian Pribilof Islands Association,,1131 East International Airport Road,,Anchorage,AK,99518,,907-276-2700,http://www.apiai.org/services/health-care/behavioral-health/,61.1744418,-149.8611637,1,,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Hope Community Resources,,540 West International Airport Road,Suite 100,Anchorage,AK,99518,,907-561-5335 x4901,http://www.hopealaska.org,61.17322,-149.893212,1,,,1,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Denali Family Services,,6401 A Street,,Anchorage,AK,99518,,907-274-8281,http://www.denalifs.org,61.162639,-149.880118,1,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Providence Alaska Medical Center,Behavioral Health/4W,3200 Providence Drive,,Anchorage,AK,99519,4615,907-212-3090,http://www.providence.org,61.1880195,-149.8210696,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Yukon Kuskokwim Health Corporation,,829 Eddie Hoffman Highway,,Bethel,AK,99559,,907-543-6100,http://www.ykhc.org,60.7930981,-161.7519895,1,,1,,,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1
McCann Treatment Center,,5016 Noel Polty Boulevard,,Bethel,AK,99559,,907-543-6800,http://,60.7693611,-161.8734954,1,,,,,1,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1
Copper River Native Association,,Mile 111.5 Old Richardson Highway,,Copper Center,AK,99573,,907-822-5241 x254,http://www.crnative.org,61.980686,-145.326135,1,,,1,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Sound Alternatives,Cordova Community Medical Clinic,602 Chase Avenue,,Cordova,AK,99574,,907-424-8300,http://www.cdvcmc.com/,60.541128,-145.750323,1,,,1,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Bristol Bay Area Health Corporation,,6000 Kanakanak Road,,Dillingham,AK,99576,,907-842-5201,http://BBAHC.org,59.0000942,-158.5355047,1,,,1,,1,,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,1
South Peninsula Behav Health Services,The Center,3948 Ben Walters Lane,,Homer,AK,99603,,907-235-7701,http://www.spbhs.org,59.648155,-151.518014,1,,,1,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
North Star Palmer RTC,Summit Program,3647 North Clark Wolverine Road,,Palmer,AK,99645,,907-761-7400,http://www.northstarbehavioral.com,61.623299,-149.067535,1,,,,,1,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Summit of North Star Behavioral Health,,Mile 2.5 Clark Wolverine Road,,Palmer,AK,99645,,907-761-7403,http://,61.6552872,-149.0575982,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Kenaitze Indian Tribe,Denaina Wellness Center,508 Upland Street,,Kenai,AK,99611,8026,907-335-7500,http://www.kenaitze.org/index.php/dwc-menu,60.553266,-151.260875,1,,1,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,1
Kenai VA CBOC,,11312 Kenai Spur Highway,Suite 39,Kenai,AK,99611,,907-395-4100 x4104,http://www.moss.anchorage.med.va.gov/Pages/default.aspx,60.5557363,-151.2557233,1,,,,,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Kenai Peninsula Community Care Center,Hardy House,320 South Spruce Street,,Kenai,AK,99611,,907-283-7635,http://www.kpccc.com,60.5565883,-151.2702254,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenai Peninsula Community Care Center,Dimmick Retreat,320 South Spruce Street,,Kenai,AK,99611,,907-283-7635,http://www.kpccc.com,60.5559385,-151.2722895,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Cove CHC,,100 Slocum Drive,,King Cove,AK,99612,,907-497-2311,http://,55.0766518,-162.2889945,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Kodiak Area Native Association,,3449 East Rezanof Drive,,Kodiak,AK,99615,,907-486-9800,http://kodiakhealthcare.org,57.8117901,-152.3551107,1,,,1,,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Child and Adolescent and Adult,Outpatient Clay County,88217 Highway 9,,Lineville,AL,36266,,256-396-2150,http://crmh.org,33.30882,-85.7578133,1,,,1,,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Crenshaw Community Hospital,Special Sevices Unit,101 Hospital Circle,,Luverne,AL,36049,7329,334-335-1175,http://crenshawcommunityhospital.com,31.716546,-86.263849,1,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Montgomery Area MH Authority,Autauga County Satellite Office,1595 East Main Street,Suite B,Prattville,AL,36066,5509,334-279-7830 x7401,http://www.mamha.org,32.4610327,-86.4292175,1,,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Community Hospital,,805 Friendship Road,,Tallassee,AL,36078,,334-283-6541 x3870,http://www.chal.org/,32.534053,-85.912363,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullock County Hospital ,,102 West Conecuh Avenue,,Union Springs,AL,36089,1303,334-738-2140,http://www.unionspringsalabama.com/,32.1461159,-85.7138547,1,1,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Montgomery Area MH Authority,Hillside Mental Health Center,8721 U.S. Highway 231,,Wetumpka,AL,36092,,334-279-7830 x7601,http://,32.5622042,-86.1929363,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Jackson Hospital,Montgomery County Assessment Center,917 Olive Street,,Montgomery,AL,36106,,334-279-7830 x7721,http://www.mamha.org,32.36961,-86.285481,1,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Montgomery Area MH Authority,Adolescent Total Care,112 Coliseum Boulevard,,Montgomery,AL,36109,,334-279-7830 x7301,http://www.mamha.org,32.3874444,-86.2570246,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Montgomery Area MH Authority,Beth Manor Crisis Residential Facility,3948 Beth Manor Drive,,Montgomery,AL,36109,,334-279-7830 x7621,http://mamha.org,32.364987,-86.2432454,1,,,,,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Baptist Medical Center South,Crossbridge Behavioral Health,4385 Narrow Lane Road,,Montgomery,AL,36116,,334-286-5360,http://www.Baptistfirst.org,32.32298,-86.282032,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Grandview Behavioral Health Center,,1302 Noble Street ,Suite 3-F,Anniston,AL,36201,,256-237-4755,http://www.mtnviewhospital.com,33.6611999,-85.8298136,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Birmingham VAMC,Anniston Oxford Clinic,96 Ali Way Creekside Street,,Oxford,AL,36203,,256-832-4141,http://www.birmingham.va.gov,33.6165217,-85.8267226,1,,1,,,1,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,
Northeast Alabama Regional Medical Ctr,Behavioral Health,400 East 10th Street,,Anniston,AL,36207,4716,256-235-5121,http://rmccares.org,33.656992,-85.823558,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Highland Health Systems,,331 East 8th Street,,Anniston,AL,36207,,256-236-3403,http://www.ccmhc.net,33.6548442,-85.8234268,1,,,1,,1,1,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Highland Health Systems,Outpatient Satellite,150 Tompkins Street,,Heflin,AL,36264,,256-463-2969,http://www.ccmhc.net,33.6248609,-85.5969052,1,,,1,,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Regional Medical Center/Jacksonville,,1701 Pelham Road South,P.O. Box 999,Jacksonville,AL,36265,,256-435-4970,http://www.rmccares.org,33.784545,-85.762973,1,1,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Highland Health Systems,Jacksonville Mental Health,614 Pelham Road South,,Jacksonville,AL,36265,,256-435-5502,http://,33.8089539,-85.7613726,1,,,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Randolph County Satellite Office,AltaPointe Sylacauga Region,706 Main Street,,Roanoke,AL,36274,,334-863-2518,http://www.altapointe.org,33.1508869,-85.3698165,1,,1,,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Laurel Oaks Behavioral Health Center,,700 East Cottonwood Road,,Dothan,AL,36301,,334-794-7373 x237,http://www.laureloaksbhc.com,31.203702,-85.38462,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeast Alabama Medical Center,Behavioral Medicine Center,1108 Ross Clark Circle,,Dothan,AL,36301,,334-793-8111 x8977,http://samc.org,31.216725,-85.363068,1,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
SpectraCare,Houston Adult Outpatient Program,1672 Columbia Highway,,Dothan,AL,36302,,800-951-4357,http://Spectracare.org,31.2210503,-85.3669091,1,,,1,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
SpectraCare,Henry County Clinic,219 Dothan Road,,Abbeville,AL,36310,,334-585-5331,http://spectracare.org,31.553463,-85.252491,1,,,1,,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Henry County Day Treatment,,403 Dothan Road,,Abbeville,AL,36310,,800-951-4357,http://www.spectracare.org,31.551296,-85.252547,1,,,1,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Cottonwood Specialized Care CRF (DMHF),,1539 Sweetie Smith Road,,Ashford,AL,36312,,334-691-8030,http://Spectracare.org,31.10588,-85.274337,1,,,,,1,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
South Central Alabama CMHC,Coffee County Day Mental Health Clinic,2861 Neal Metcalf Road,,Enterprise,AL,36330,,334-347-0212,http://www.scamhc.org,31.36058,-85.867069,1,,,1,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
SpectraCare,Geneva County Clinic,1203 West Maple Avenue,,Geneva,AL,36340,,334-684-9615,http://Spectracare.org,31.0481016,-85.890651,1,,,1,,1,,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
SpectraCare,Dale County/Clinic and Day Treatment,134 Katherine Avenue,,Ozark,AL,36360,,800-951-4357,http://www.spectracare.org,31.45391,-85.6335988,1,,,1,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Dale Medical Center,New Day Psychiatric Unit,126 Hospital Avenue,,Ozark,AL,36360,,334-774-7352,http://,31.451328,-85.632075,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpectraCare,Houston County/Rehab Day Program,6154 Old Webb Road,,Webb,AL,36376,4200,334-678-7162,http://www.spectracare.org,31.2516481,-85.2978605,1,,,1,,1,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
South Central Alabama CMHC,,19815 Bay Branch Road,,Andalusia,AL,36420,,334-222-2523,http://www.scamhc.org,31.308504,-86.483291,1,,,1,,1,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Rehab Day Montezuma Complex  ,Covington County,205 Academy Drive,,Andalusia,AL,36420,,334-428-5050,http://www.scamhc.org,31.314019,-86.450831,1,,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Oaks,Grove Hill Memorial Hospital,295 South Jackson Street,,Grove Hill,AL,36451,,251-275-4922,http://grovehillmemorial.org/department.php?Southern-Oaks-8,31.695007,-87.7772891,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mizell Memorial Hospital,Senior Care Behavioral Unit,702 Main Street,,Opp,AL,36467,1626,334-493-9134,http://www.mizellmh.com,31.2220879,-86.1725231,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpectraCare,Geneva County Day Treatment,10386 West State Highway 52,,Samson,AL,36477,,334-898-7423,http://Spectracare.org,31.1083,-86.0237,1,,,1,,1,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
North Baldwin Infirmary,Senior Behavioral Health,1815 Hand Avenue,,Bay Minette,AL,36507,,251-580-1770,http://www.infirmaryhealth.org/services/mental-and-substance/senior-behavioral-health,30.9039384,-87.7850231,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AltaPointe Health Systems Inc,Community Counseling/Washington County,63 Dixie Youth Drive,,Chatom,AL,36518,,251-847-2301,http://www.altapointe.org/,31.4592229,-88.2286757,1,,1,,,1,,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
East Pointe Hospital,,7400 Roper Lane,,Daphne,AL,36526,,251-378-6500,http://www.altapointe.org,30.6354925,-87.897023,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Altapointe Health Systems Inc,Lott Transitional Age CRF,8065 Lott Road,,Wilmer,AL,36587,,251-645-3738,http://,30.858765,-88.280479,1,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Gulf Coast VAMC,VA Outpatient Clinic,1504 Spring Hill Avenue,,Mobile,AL,36604,,251-219-3900 x3942,http://,30.6932066,-88.0718862,1,,1,,,1,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
